B00, 0
B14, Trade, 205.675, 98, B14, S01, 1
B14, Trade, 209.675, 101, B14, S06, 1
B14, Trade, 223.875, 99, B14, S03, 1
B14, Trade, 228.325, 97, B14, S06, 1
B14, Trade, 231.750, 98, B14, S05, 1
B14, Trade, 241.300, 103, B14, S06, 1
B14, Trade, 244.950, 102, B14, S02, 1
B14, Trade, 252.375, 103, B14, S08, 1
B14, Trade, 265.475, 103, B14, S01, 1
B14, Trade, 273.000, 104, S05, B14, 1
B14, Trade, 276.750, 105, B14, S08, 1
B14, Trade, 278.850, 105, B14, S01, 1
B14, Trade, 286.625, 102, B14, S06, 1
B14, Trade, 290.400, 102, B14, S04, 1
B14, Trade, 300.200, 101, S00, B14, 1
B14, Trade, 309.150, 105, S02, B14, 1
B14, Trade, 322.850, 102, B14, S06, 1
B14, Trade, 338.175, 101, B14, S05, 1
B14, Trade, 343.025, 99, B14, S06, 1
B14, Trade, 349.550, 100, B14, S04, 1
B14, Trade, 359.200, 98, B14, S00, 1
B14, Trade, 363.750, 97, B14, S06, 1
B14, Trade, 373.900, 102, B14, S06, 1
B14, Trade, 382.475, 101, B14, S08, 1
B14, Trade, 389.050, 103, S04, B14, 1
B14, Trade, 393.925, 98, B14, S05, 1
B14, Trade, 400.025, 98, B14, S01, 1
B14, Trade, 408.575, 96, B14, S05, 1
B14, Trade, 413.900, 98, B14, S00, 1
B14, Trade, 418.100, 101, B14, S01, 1
B14, Trade, 429.575, 101, B14, S02, 1
B14, Trade, 438.200, 100, S03, B14, 1
B14, Trade, 443.475, 97, B14, S02, 1
B14, Trade, 454.850, 99, B14, S06, 1
B14, Trade, 458.050, 103, B14, S04, 1
B14, Trade, 461.125, 101, S00, B14, 1
B14, Trade, 470.500, 97, S04, B14, 1
B14, Trade, 477.925, 106, B14, S05, 1
B14, Trade, 479.625, 107, B14, S04, 1
B14, Trade, 484.975, 108, B14, S05, 1
B14, Trade, 489.625, 105, B14, S03, 1
B14, Trade, 491.300, 105, B14, S01, 1
B14, Trade, 502.975, 98, B14, S03, 1
B14, Trade, 508.875, 101, S05, B14, 1
B14, Trade, 514.950, 99, B14, S01, 1
B14, Trade, 517.825, 98, B14, S06, 1
B14, Trade, 522.825, 100, B14, S06, 1
B14, Trade, 528.075, 105, B14, S10, 1
B14, Trade, 535.125, 103, B14, S10, 1
B14, Trade, 537.300, 102, B14, S01, 1
B14, Trade, 543.950, 100, B14, S00, 1
B14, Trade, 549.200, 110, B14, S03, 1
B14, Trade, 554.225, 105, B14, S03, 1
B14, Trade, 557.175, 103, B14, S02, 1
B14, Trade, 567.800, 110, S03, B14, 1
B14, Trade, 574.775, 99, B14, S00, 1
B14, Trade, 580.425, 104, B14, S02, 1
B14, Trade, 585.150, 104, B14, S06, 1
B14, Trade, 591.550, 101, B14, S09, 1
B14, Trade, 598.700, 102, S03, B14, 1
B14, Trade, 610.100, 100, B14, S04, 1
B14, Trade, 619.100, 99, B14, S04, 1
B14, Trade, 623.225, 102, B14, S01, 1
B14, Trade, 629.800, 103, B14, S01, 1
B14, Trade, 634.450, 103, B14, S06, 1
B14, Trade, 641.050, 103, B14, S00, 1
B14, Trade, 663.925, 108, B14, S02, 1
B14, Trade, 670.250, 107, B14, S01, 1
B14, Trade, 675.275, 102, B14, S06, 1
B14, Trade, 685.750, 104, B14, S10, 1
B14, Trade, 689.950, 104, B14, S03, 1
B14, Trade, 702.875, 105, B14, S08, 1
B14, Trade, 709.550, 106, B14, S01, 1
B14, Trade, 718.325, 104, B14, S10, 1
B14, Trade, 722.400, 105, B14, S03, 1
B14, Trade, 728.675, 100, S00, B14, 1
B14, Trade, 738.150, 103, B14, S02, 1
B14, Trade, 745.450, 101, B14, S01, 1
B14, Trade, 749.700, 101, B14, S06, 1
B14, Trade, 766.100, 107, B14, S02, 1
B14, Trade, 769.300, 106, B14, S06, 1
B14, Trade, 773.275, 103, B14, S00, 1
B14, Trade, 781.650, 91, B14, S01, 1
B14, Trade, 785.525, 107, S08, B14, 1
B14, Trade, 791.050, 101, B14, S06, 1
B14, Trade, 800.900, 106, B14, S01, 1
B14, Trade, 804.975, 103, B14, S10, 1
B14, Trade, 807.675, 96, S02, B14, 1
B14, Trade, 817.275, 100, B14, S06, 1
B14, Trade, 822.175, 99, B14, S07, 1
B14, Trade, 825.375, 108, B14, S10, 1
B14, Trade, 832.325, 103, B14, S00, 1
B14, Trade, 839.450, 100, B14, S06, 1
B14, Trade, 844.025, 98, B14, S06, 1
B14, Trade, 850.850, 93, S08, B14, 1
B14, Trade, 854.275, 104, B14, S02, 1
B14, Trade, 860.150, 98, B14, S01, 1
B15, 100
B15, Trade, 138.925, 100, B15, S01, 1
B15, Trade, 144.175, 101, B15, S07, 1
B15, Trade, 150.800, 105, B15, S08, 1
B15, Trade, 154.775, 107, B15, S04, 1
B15, Trade, 170.000, 106, B15, S04, 1
B15, Trade, 179.000, 106, B15, S08, 1
B15, Trade, 182.950, 103, B15, S10, 1
B15, Trade, 189.425, 104, B15, S00, 1
B15, Trade, 197.975, 106, B15, S07, 1
B15, Trade, 199.300, 101, S08, B15, 1
B15, Trade, 213.325, 99, B15, S01, 1
B15, Trade, 227.750, 97, B15, S01, 1
B15, Trade, 241.725, 103, S00, B15, 1
B15, Trade, 243.275, 102, B15, S01, 1
B15, Trade, 248.075, 101, S08, B15, 1
B15, Trade, 260.425, 103, B15, S10, 1
B15, Trade, 266.300, 102, B15, S10, 1
B15, Trade, 277.975, 105, B15, S10, 1
B15, Trade, 279.300, 102, S10, B15, 1
B15, Trade, 286.200, 102, B15, S10, 1
B15, Trade, 291.525, 102, B15, S00, 1
B15, Trade, 293.700, 101, B15, S06, 1
B15, Trade, 301.325, 92, S08, B15, 1
B15, Trade, 307.350, 106, B15, S05, 1
B15, Trade, 312.250, 102, B15, S06, 1
B15, Trade, 331.575, 99, B15, S00, 1
B15, Trade, 338.950, 100, B15, S00, 1
B15, Trade, 339.875, 100, B15, S04, 1
B15, Trade, 350.125, 99, B15, S01, 1
B15, Trade, 355.850, 98, B15, S01, 1
B15, Trade, 364.500, 97, B15, S05, 1
B15, Trade, 365.950, 94, S02, B15, 1
B15, Trade, 376.750, 101, B15, S04, 1
B15, Trade, 383.250, 100, B15, S06, 1
B15, Trade, 390.550, 101, S02, B15, 1
B15, Trade, 399.575, 99, B15, S00, 1
B15, Trade, 400.600, 98, B15, S06, 1
B15, Trade, 407.400, 96, B15, S01, 1
B15, Trade, 411.375, 98, B15, S06, 1
B15, Trade, 428.950, 101, B15, S00, 1
B15, Trade, 443.775, 96, B15, S05, 1
B15, Trade, 459.725, 100, B15, S01, 1
B15, Trade, 462.175, 100, S02, B15, 1
B15, Trade, 471.050, 96, B15, S08, 1
B15, Trade, 475.475, 103, B15, S10, 1
B15, Trade, 480.450, 105, B15, S03, 1
B15, Trade, 490.600, 104, S02, B15, 1
